Gene_Symbol	Upregulated
A2ML1	Normal
AADACP1	Tumor
AAED1	Tumor
AAK1	Tumor
AARS	Tumor
AASS	Normal
AATBC	Normal
AATF	Tumor
ABCA10	Normal
ABCA5	Normal
ABCA6	Normal
ABCA8	Normal
ABCA9	Normal
ABCC4	Tumor
ABCD1	Tumor
ABCE1	Tumor
ABCG1	Tumor
ABHD10	Tumor
ABHD11	Tumor
ABHD2	Tumor
ABI2	Tumor
ABL2	Tumor
ABLIM1	Normal
ABLIM3	Normal
ABO	Normal
ABTB2	Tumor
AC002398.12	Normal
AC002398.9	Tumor
AC002511.2	Normal
AC003090.1	Normal
AC004951.5	Normal
AC004951.6	Tumor
AC005262.3	Normal
AC005339.2	Normal
AC005532.5	Normal
AC005538.3	Tumor
AC005943.2	Tumor
AC005943.6	Tumor
AC005944.2	Tumor
AC006011.4	Tumor
AC006449.2	Normal
AC007405.6	Tumor
AC007969.5	Tumor
AC009948.5	Tumor
AC009950.1	Tumor
AC010761.10	Tumor
AC012363.4	Tumor
AC017116.11	Normal
AC018816.3	Normal
AC021066.1	Normal
AC024592.9	Normal
AC055736.1	Normal
AC055736.2	Normal
AC055736.3	Normal
AC055736.4	Normal
AC073046.25	Tumor
AC074289.1	Normal
AC093159.1	Normal
AC096579.13	Normal
AC098973.2	Tumor
AC103563.9	Normal
AC113188.2	Normal
AC124789.1	Normal
AC127904.2	Tumor
AC132217.4	Normal
AC133528.2	Normal
AC133644.2	Tumor
AC144831.1	Normal
AC234582.1	Tumor
ACAA1	Normal
ACADVL	Normal
ACAN	Tumor
ACAP3	Normal
ACBD5	Tumor
ACCS	Normal
ACE	Tumor
ACER1	Normal
ACER3	Tumor
ACKR1	Normal
ACLY	Tumor
ACOT13	Tumor
ACOT7	Tumor
ACOX2	Normal
ACOX3	Normal
ACP2	Tumor
ACPP	Normal
ACSL4	Tumor
ACSL5	Tumor
ACTA1	Normal
ACTA2	Normal
ACTA2-AS1	Normal
ACTG2	Normal
ACTL6A	Tumor
ACTN4	Tumor
ACVR1	Tumor
ACY3	Tumor
ADAD2	Normal
ADAM10	Tumor
ADAM12	Tumor
ADAM33	Normal
ADAM8	Tumor
ADAM9	Tumor
ADAMDEC1	Tumor
ADAMTS10	Normal
ADAMTS12	Tumor
ADAMTS2	Tumor
ADAMTS4	Tumor
ADAMTS7	Tumor
ADAMTS8	Normal
ADAMTS9-AS1	Normal
ADAMTSL4	Normal
ADAP1	Tumor
ADAP2	Tumor
ADAR	Tumor
ADAT1	Tumor
ADCY4	Normal
ADCY5	Normal
ADGRA3	Tumor
ADGRD1	Normal
ADGRE5	Tumor
ADGRF1	Normal
ADGRF4	Normal
ADGRG1	Tumor
ADH1B	Normal
ADH7	Normal
ADHFE1	Normal
ADIRF-AS1	Normal
ADNP	Tumor
ADO	Tumor
ADRB2	Normal
ADRBK2	Tumor
ADTRP	Tumor
AFAP1	Tumor
AGAP1	Tumor
AGAP11	Normal
AGER	Normal
AGMAT	Tumor
AGO1	Tumor
AGO2	Tumor
AGO3	Tumor
AGPS	Tumor
AGR2	Tumor
AGR3	Tumor
AGRN	Tumor
AGT	Tumor
AHCTF1	Tumor
AHNAK	Normal
AHR	Tumor
AHSA2	Normal
AIDA	Tumor
AIF1	Tumor
AIF1L	Normal
AIM1	Normal
AIM1L	Normal
AKAP2	Tumor
AKR1B10	Normal
AKR1C3	Tumor
AKR7A3	Tumor
AL035610.1	Normal
AL133243.1	Tumor
AL162151.3	Normal
AL442127.1	Normal
AL589743.1	Tumor
AL928768.3	Normal
ALB	Normal
ALCAM	Tumor
ALDH18A1	Tumor
ALDH1A1	Tumor
ALDH1B1	Tumor
ALDH1L1	Normal
ALDH1L2	Tumor
ALDH3A1	Normal
ALDH3B2	Normal
ALDH9A1	Normal
ALG1L	Tumor
ALG3	Tumor
ALMS1	Tumor
ALOX12	Normal
ALOX15B	Normal
ALS2CL	Normal
AMIGO2	Tumor
AMT	Normal
AMY2A	Normal
AMY2B	Normal
ANAPC13	Tumor
ANGEL1	Tumor
ANGPT2	Tumor
ANGPTL1	Normal
ANGPTL4	Normal
ANKEF1	Tumor
ANKH	Tumor
ANKIB1	Tumor
ANKRD12	Tumor
ANKRD20A11P	Normal
ANKRD20A5P	Normal
ANKRD35	Normal
ANKRD37	Normal
ANKRD40	Tumor
ANKRD65	Normal
ANKZF1	Normal
ANLN	Tumor
ANO1	Tumor
ANO6	Tumor
ANO7P1	Normal
ANO8	Normal
ANOS1	Tumor
ANP32E	Tumor
ANTXR1	Tumor
ANXA1	Normal
ANXA10	Tumor
ANXA8	Normal
ANXA8L1	Normal
ANXA9	Normal
AOC1	Tumor
AOC3	Normal
AOX1	Normal
AP000275.65	Tumor
AP000892.6	Normal
AP003391.1	Tumor
AP003419.11	Normal
AP006621.9	Normal
AP1S3	Tumor
AP2B1	Tumor
AP5M1	Tumor
APBB1	Normal
APBB2	Tumor
APBB3	Normal
APH1B	Tumor
APLN	Tumor
APLNR	Tumor
APLP1	Tumor
APLP2	Tumor
APMAP	Tumor
APOBEC3B	Tumor
APOBEC3C	Tumor
APOBEC3F	Tumor
APOBEC3G	Tumor
APOC1	Tumor
APOC2	Tumor
APOC4-APOC2	Tumor
APOD	Normal
APOE	Tumor
APOL1	Tumor
APOL6	Tumor
APP	Tumor
AQP1	Normal
AQP3	Normal
AQP5	Normal
ARFGEF2	Tumor
ARFGEF3	Tumor
ARGLU1	Normal
ARHGAP10	Normal
ARHGAP11A	Tumor
ARHGAP18	Tumor
ARHGAP21	Tumor
ARHGAP26	Tumor
ARHGAP27	Normal
ARHGAP40	Normal
ARHGAP42	Tumor
ARHGEF10L	Normal
ARHGEF11	Tumor
ARHGEF25	Normal
ARHGEF39	Tumor
ARHGEF4	Normal
ARID1B	Tumor
ARID3A	Tumor
ARID4A	Tumor
ARID4B	Tumor
ARL13B	Tumor
ARL14	Tumor
ARL4D	Normal
ARL5B	Tumor
ARL6IP1	Tumor
ARMC1	Tumor
ARMC10	Tumor
ARMC9	Tumor
ARPC1B	Tumor
ARPC4-TTLL3	Normal
ARPP19	Tumor
ARSB	Tumor
ARSE	Tumor
ARSF	Normal
ASAP1	Tumor
ASAP2	Tumor
ASAP3	Normal
ASCL2	Tumor
ASF1B	Tumor
ASMTL-AS1	Normal
ASPG	Normal
ASPH	Tumor
ASPHD1	Tumor
ASPM	Tumor
ASPN	Tumor
ASS1	Tumor
ASXL2	Tumor
ATAD2	Tumor
ATAD5	Tumor
ATF2	Tumor
ATF3	Tumor
ATF7IP	Tumor
ATG16L2	Normal
ATG9B	Normal
ATIC	Tumor
ATOH8	Normal
ATP11A	Tumor
ATP13A2	Tumor
ATP13A3	Tumor
